,extractor,n_features,selection_method,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std
0,ResNet50,50,SelectKBest(k=50),KNeighborsClassifier(n_neighbors=11),0.842003367003367,0.004354382880935202,0.845019262118013,0.0074598912248964675,0.9540682491121016,0.005870812106455412,0.8961909888308834,0.002178438925731822
1,ResNet50,50,SelectKBest(k=50),GaussianNB(),0.7967171717171717,0.00702748534166391,0.8521795152233926,0.009738203929399523,0.8659752740301057,0.006348036545125599,0.8589623528841337,0.004164267621895748
2,ResNet50,50,SelectKBest(k=50),"SVC(C=10, gamma='auto', kernel='linear')",0.8436026936026936,0.0026830601768534036,0.8435986529543108,0.0036984498725929427,0.9590151762520875,0.003901895906765014,0.8975987205415736,0.0016000473871428823
3,ResNet50,50,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=50, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=15),0.842003367003367,0.0032666006585744603,0.8434529383039248,0.005120007563963192,0.9565420246510973,0.0030605618257794603,0.89642617466055,0.0016594379169475656
4,ResNet50,50,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=50, threshold='1.25*median')",GaussianNB(),0.7891414141414141,0.005015309464567735,0.8640046985293564,0.006397224930735519,0.8367676267686044,0.0066630949064968425,0.8501320232012812,0.0035351290532164726
5,ResNet50,50,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=50, threshold='1.25*median')","SVC(C=10, gamma='auto', kernel='linear')",0.8404882154882154,0.007157357464471837,0.8422748993622452,0.007950837112568795,0.9559531658267769,0.003236842049071582,0.8954925517447387,0.00413472803192332
6,ResNet50,50,PCA(n_components=50),KNeighborsClassifier(n_neighbors=17),0.8368686868686869,0.004984131765349328,0.847815328777949,0.005006111545553421,0.9406429750473327,0.0016426122426012487,0.8918125940839561,0.0030060642773432245
7,ResNet50,50,PCA(n_components=50),GaussianNB(),0.8316498316498315,0.005106313430337752,0.8383602200747493,0.005533104716646706,0.9471201448090785,0.0017327360116880124,0.8894155214414404,0.0029496586326856872
8,ResNet50,50,PCA(n_components=50),"SVC(C=10, gamma='auto')",0.8656565656565656,0.00525942739118297,0.8638793389122152,0.005090943329378979,0.9639616874334033,0.0020897202475161324,0.9111734488553255,0.0032564661971206223
9,ResNet50,100,SelectKBest(k=100),KNeighborsClassifier(n_neighbors=18),0.8474747474747474,0.005206621917236422,0.8513837729009399,0.005611857894467193,0.9530083170936136,0.003450923399337834,0.8993191352220131,0.003152993367965219
