,extractor,n_features,selection_method,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std
0,VGG19,50,SelectKBest(k=50),KNeighborsClassifier(n_neighbors=18),0.8143097643097643,0.005157398546141544,0.844659946979319,0.0054064647176054045,0.9070776754288362,0.006651730022084261,0.8747288885807253,0.0034463949894966116
1,VGG19,50,SelectKBest(k=50),GaussianNB(),0.7351851851851852,0.009785330907616598,0.8713562146694462,0.01099639740620042,0.7386640516731591,0.00815976321190939,0.7994942543697892,0.007132414523871253
2,VGG19,50,SelectKBest(k=50),"SVC(C=10, gamma='auto', kernel='linear')",0.8200336700336699,0.005192995560669095,0.8311600393443875,0.004923414058640906,0.9389943228574141,0.004539180771151024,0.8817782359981223,0.003209799934733488
3,VGG19,50,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=50)",KNeighborsClassifier(n_neighbors=19),0.8271043771043771,0.01042344523178695,0.8482083669366445,0.006525167739295075,0.9233313297990712,0.007781935895283081,0.8841753635521995,0.007014736534178412
4,VGG19,50,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=50)",GaussianNB(),0.7406565656565658,0.009472595889990035,0.8756409233482533,0.012039573383182695,0.7427859941169579,0.00532185970839746,0.8037185587770441,0.006362609994447154
5,VGG19,50,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=50)","SVC(C=10, gamma='auto', kernel='linear')",0.829882154882155,0.0064017351319298164,0.8439632707598823,0.005213622477584745,0.9348723804136154,0.007197869605738158,0.8870729289048713,0.0042863858875184565
6,VGG19,50,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=50, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=15),0.8251683501683502,0.0070606791163336,0.8484684723377827,0.006177107305408026,0.919679559305654,0.004023957207798838,0.8826306887684702,0.004511318239337218
7,VGG19,50,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=50, threshold='1.25*median')",GaussianNB(),0.7300505050505051,0.00991552479638196,0.8787325292893721,0.011089826402192225,0.7220581496355856,0.008269740714062042,0.7926838180765876,0.007446424901690476
8,VGG19,50,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=50, threshold='1.25*median')","SVC(C=10, gamma='auto')",0.8266835016835017,0.005198450389442616,0.8326081900688818,0.004864218647030424,0.9481803541333467,0.004885651611392328,0.8866286113552098,0.003239013494459875
9,VGG19,50,PCA(n_components=50),KNeighborsClassifier(n_neighbors=19),0.8180976430976432,0.005122937392155855,0.8456367797150703,0.005243951072940359,0.9120242559365968,0.00417923476125467,0.8775619764443034,0.003205069789787593
10,VGG19,50,PCA(n_components=50),GaussianNB(),0.7936026936026936,0.012672753913158436,0.8374382063793384,0.009048617969681759,0.8825829785552507,0.008630876213196102,0.8594104423400839,0.008489549241171573
11,VGG19,50,PCA(n_components=50),"SVC(C=10, gamma='auto')",0.8302188552188552,0.007379615755657789,0.8325730544156533,0.00585946213875619,0.954422784552127,0.003316343642194835,0.8893381972324846,0.0045407368464069255
12,VGG19,100,SelectKBest(k=100),KNeighborsClassifier(n_neighbors=21),0.8167508417508417,0.0052876426850301085,0.8452105650392978,0.003887088083820643,0.910374979808673,0.009223865537456815,0.8765490351267943,0.004038890924574711
13,VGG19,100,SelectKBest(k=100),GaussianNB(),0.6950336700336701,0.012543499796203882,0.879215434263859,0.012061030074746218,0.6647034803955213,0.012576656556606572,0.7569898617942502,0.010645761323906688
14,VGG19,100,SelectKBest(k=100),"SVC(C=10, gamma='auto', kernel='linear')",0.8287037037037038,0.006760260271131717,0.8411082778312247,0.005551883389734465,0.9374634562976489,0.004014324525969237,0.8866682277124429,0.004264486365674716
